FID,nombre,cod_depend,cod_tramo,cod_tipo_d,cod_estado,id_gestor,cod_munici,direccion,codigo_pos,cod_titula,utm_x,utm_y,v_desde,id_provinc,prec_geom,dependenci,dependen_1,dependen_2,dependen_3,dependen_4,dependen_5,dependen_6,dependen_7,dependen_8,dependen_9,geom
Dependencias.1,BIF. CANAL DEL DUERO,B0602,011000180,F,FS,AM,,,,AD,360326.8344,4617523.5355,19,47,0,AM,F,FS,47,,0,AD,011000180,BIF. CANAL DEL DUERO,0,POINT (360326.83440000005 4617523.535499999)
Dependencias.2,BIF. GRIJOTA,B1505,061300030,B,EX,AM,,,,AD,370011.2076,4655450.9394,51,34,0,AM,B,EX,34,0,0,AD,061300030,BIF. GRIJOTA,0,POINT (370011.2076000003 4655450.9394000005)
Dependencias.3,KM 59.560,C5441,044660010,K,EX,AM,,,,AV,391783.5195,4110693.549,19,29,0,AM,K,EX,29,,0,AV,044660010,KM 59.560,0,POINT (391783.5195000004 4110693.5490000006)
Dependencias.4,KM 86.520,C5442,044640010,K,EX,AM,,,,AD,412893.8349,4121118.024,19,29,0,AM,K,EX,29,,0,AD,044640010,KM 86.520,0,POINT (412893.83490000013 4121116.9656000007)
Dependencias.5,CENTRO TRATAMIENTO TECNICO VALENCIA FUENTE S. LUIS,46A06,033040010,O,EX,AN,,,,AD,725839.8936,4369065.4736,19,0,0,AN,O,EX,0,0,0,AD,033040010,CENTRO TRATAMIENTO TECNICO VALENCIA FUENTE S. LUIS,0,POINT (725839.8936000001 4369065.4736)
Dependencias.6,CAPARROSO,80113,017100070,T,EX,AX,310654,,31380,AD,611537.2986,4692956.0207,1,31,1,AX,T,EX,31,310654,31380,AD,017100070,CAPARROSO,0,POINT (611537.2986000003 4692956.0207)
Dependencias.7,ROBLIZA (APD),33004,011200070,Y,FS,AP,372702,,37491,AD,248799.9656,4529861.3379,1,37,1,AP,Y,FS,37,372702,37491,AD,011200070,ROBLIZA (APD),0,POINT (248799.96559999976 4529861.3379)
Dependencias.8,IZNALLOZ,57003,044160020,T,EX,AE,181054,,18550,AD,453275.3149,4138920.5592,1,18,1,AE,T,EX,18,181054,18550,AD,044160020,IZNALLOZ,0,POINT (453275.31489999965 4138920.5592)
Dependencias.9,DEIFONTES,57004,044160020,T,EX,AX,180665,,18570,AD,447157.1837,4131936.2302,1,18,1,AX,T,EX,18,180665,18570,AD,044160020,DEIFONTES,0,POINT (447157.18369999994 4131936.2302)
Dependencias.10,CALICASAS,57005,044160020,Y,FS,AP,180037,,18220,AD,441472.7338,4127342.7479,1,18,1,AP,Y,FS,18,180037,18220,AD,044160020,CALICASAS,0,POINT (441472.7337999996 4127342.7479)
